iter	Logloss
0	0.6916959748
1	0.6905568855
2	0.6894299094
3	0.6885008821
4	0.6876558705
5	0.686716254
6	0.6860613633
7	0.6854726503
8	0.6848234817
9	0.6841882834
10	0.6837424189
11	0.6832450271
12	0.682692316
13	0.6822953056
14	0.6820361296
15	0.6816050358
16	0.6812822484
17	0.6809300113
18	0.6806104482
19	0.6802452553
20	0.6799668492
21	0.6795655132
22	0.6792753083
23	0.6789524879
24	0.6786892705
25	0.6784153654
26	0.6780755631
27	0.6778440437
28	0.6776176937
29	0.6774166218
30	0.6772047244
31	0.6769867594
32	0.676751312
33	0.6765254326
34	0.6763340243
35	0.6761874548
36	0.6760161777
37	0.6758380948
38	0.6755894692
39	0.6753842949
40	0.6752147089
41	0.6749810366
42	0.6747247284
43	0.6745177137
44	0.6743574088
45	0.6741764561
46	0.6739634387
47	0.673789329
48	0.673596867
49	0.6734262046
50	0.6732654071
51	0.6731268931
52	0.6729407565
53	0.6728156276
54	0.6726617258
55	0.6724384828
56	0.6722699191
57	0.6720616381
58	0.6719276562
59	0.6718091594
60	0.6716173987
61	0.6714789992
62	0.6712980306
63	0.6710641062
64	0.6709030373
65	0.6707591042
66	0.6705892788
67	0.6704114265
68	0.6702469857
69	0.6700751228
70	0.6699898036
71	0.6698418728
72	0.6696273567
73	0.6694864779
74	0.6693041073
75	0.6691763173
76	0.6690289156
77	0.6688930297
78	0.6687958905
79	0.6686231905
80	0.6684952424
81	0.6683580517
82	0.6682201626
83	0.6680890356
84	0.6679516535
85	0.6678413865
86	0.6676552176
87	0.6675099323
88	0.6673771099
89	0.6672550235
90	0.6671366244
91	0.6669758811
92	0.6668215684
93	0.6667249616
94	0.6665456588
95	0.6664259801
96	0.666278817
97	0.6661784204
98	0.6660508342
99	0.6659409278
100	0.6658206317
101	0.6656596659
102	0.6655462416
103	0.6654032997
104	0.665247407
105	0.6651303822
106	0.6649996447
107	0.6648995006
108	0.6647116879
109	0.6645969926
110	0.6645209829
111	0.6643984844
112	0.6642906268
113	0.6641623916
114	0.6640235141
115	0.663895131
116	0.6637739829
117	0.663673289
118	0.6635814837
119	0.6634649055
120	0.6633677967
121	0.6632329079
122	0.6630630063
123	0.6629438725
124	0.6628329625
125	0.6626655245
126	0.6625036202
127	0.6623813436
128	0.6622878632
129	0.662187495
130	0.6620675346
131	0.6619690951
132	0.6618207266
133	0.6616519808
134	0.6615335677
135	0.6614214879
136	0.6613340978
137	0.6612141568
138	0.6611151529
139	0.6609692175
140	0.6608348708
141	0.6607104154
142	0.6606203242
143	0.6604709597
144	0.6603511621
145	0.660229918
146	0.6600675855
147	0.6600180008
148	0.6598435314
149	0.659700307
150	0.6595699099
151	0.6594125688
152	0.659277569
153	0.6591275309
154	0.6590231035
155	0.6588972835
156	0.6588117409
157	0.6586674664
158	0.6585180154
159	0.6583655273
160	0.6582668475
161	0.6581859877
162	0.6580678667
163	0.657968941
164	0.6578369785
165	0.6577769192
166	0.6576531809
167	0.6575472462
168	0.6574327549
169	0.6573455253
170	0.657214802
171	0.6571048385
172	0.6569538732
173	0.6568282022
174	0.6566747061
175	0.6565856723
176	0.6564497106
177	0.6563279567
178	0.6561903477
179	0.656073104
180	0.6559342144
181	0.6557896458
182	0.6556684231
183	0.6555587506
184	0.6554339629
185	0.6552992131
186	0.6552161892
187	0.6550832843
188	0.6549609297
189	0.6548625564
190	0.6547175051
191	0.6545663973
192	0.654473411
193	0.6543741503
194	0.6542517691
195	0.6541362467
196	0.6540112641
197	0.6538690382
198	0.6537128329
199	0.6535974168
200	0.6534261471
201	0.653308938
202	0.6532020181
203	0.6530236089
204	0.6529055652
205	0.6528285271
206	0.6526899272
207	0.6525250073
208	0.6523534183
209	0.6522375113
210	0.6520806791
211	0.6519281857
212	0.6517779544
213	0.6516550118
214	0.6515400892
215	0.6514110443
216	0.6513053084
217	0.6512205794
218	0.651071447
219	0.6509612359
220	0.6508254806
221	0.6506707381
222	0.6505680861
223	0.6504139133
224	0.65026543
225	0.6501498046
226	0.650014081
227	0.6498799854
228	0.649706749
229	0.6495497139
230	0.64943595
231	0.6493309081
232	0.6491528219
233	0.6489616659
234	0.6487979648
235	0.6486735762
236	0.6485705653
237	0.6484626016
238	0.6483473933
239	0.6482038295
240	0.6480359759
241	0.6478690721
242	0.6477905712
243	0.6476638503
244	0.6475409923
245	0.6473753795
246	0.6472459907
247	0.6470949526
248	0.6469715787
249	0.6468416924
250	0.646705134
251	0.6465606506
252	0.6463743282
253	0.6462219566
254	0.646033335
255	0.6458356033
256	0.6456962098
257	0.645486267
258	0.645396341
259	0.6451946939
260	0.6450741219
261	0.6449404415
262	0.6447578033
263	0.6446092675
264	0.6444740762
265	0.6443336888
266	0.6441633134
267	0.643998029
268	0.6438790507
269	0.6437536482
270	0.6435516414
271	0.6433950086
272	0.643210724
273	0.6430843653
274	0.6429427776
275	0.6428186815
276	0.6426770286
277	0.6424790393
278	0.6423000712
279	0.642179838
280	0.6420206937
281	0.6418646454
282	0.6417211154
283	0.6415727516
284	0.6414175416
285	0.6412459048
286	0.6410758556
287	0.6409201613
288	0.6407466582
289	0.6405707758
290	0.640451953
291	0.6402987848
292	0.6401699896
293	0.6400492068
294	0.6399212075
295	0.6397475698
296	0.639570826
297	0.6394366272
298	0.6392617236
299	0.6391389101
